date,year,month,day_of_year,system:time_start,system_index,scene_cloud_percent,GCC,NDVI,NDVI_RAW_ORIGINAL,NDVI_WINDOW_DAYS,NDTI,NDPI,FAI,NDCI,KINNERET_2B,KINNERET_3B
2022-06-14,2022,6,165,1.655195469954E12,20220614T081611_20220614T082301_T36SYB,30.940968,0.3588266713492241,-0.488298052959618,-0.1283617374068665,61,-0.04047729562215304,-0.48782197673863326,-0.0060753589220108,0.07700961011629272,1.1690528392820536,0.11731843548430639
2022-06-19,2022,6,170,1.655627463806E12,20220619T081609_20220619T082255_T36SYB,0.269326,0.3646700417698904,-0.510698568668133,-0.4953293373184049,61,0.005801984280245365,-0.4882573961192266,-0.017081688565082933,0.09786326677149622,1.229054167038052,0.07350923322592597
2022-06-24,2022,6,175,1.656059471897E12,20220624T081621_20220624T082303_T36SYB,1.305344,0.3588407300556761,-0.507881363248922,-0.1964583811449621,61,0.018831936191478386,-0.16272911340139373,-0.020220949437935704,0.0941550676882264,1.2282526347212264,0.14209989472911902
2022-06-29,2022,6,180,1.656491464611E12,20220629T081609_20220629T082256_T36SYB,0.300112,0.3656224050720097,-0.510416741482397,-0.6871124063055813,61,-0.03446023506371518,-0.6084731679346769,-0.020816596597665143,0.09853077836719625,1.2334607817409808,0.07191966599152887
2022-07-04,2022,7,185,1.656923472553E12,20220704T081621_20220704T082304_T36SYB,0.872957,0.3936512161779752,-0.512196599787167,-0.8444480554036863,61,-0.021257276763919454,-0.4673449359213143,-0.0210526281583684,0.14183019185824888,1.3676286214085112,0.0718631999309418
2022-07-09,2022,7,190,1.657355464267E12,20220709T081609_20220709T082255_T36SYB,0.799533,0.3705861356353123,-0.479861913020883,-0.510515942189828,61,-0.041906281067828725,-0.5379811831286998,-0.01638092272839143,0.11432790096409129,1.2834503273357138,0.11812671148876441
2022-07-14,2022,7,195,1.657787472068E12,20220714T081621_20220714T082748_T36SYB,0.047913,0.38941750383403767,-0.477241311302505,-0.4702961275471199,61,-0.016299124970321186,-0.5037977727140452,-0.01332266291116983,0.15285290722959466,1.4147717353233005,0.2072026701184749
2022-07-19,2022,7,200,1.658219464351E12,20220719T081609_20220719T082252_T36SYB,0.00499,0.3694193333502461,-0.483047874050581,-0.31487223119426405,61,-0.044237605377687776,-0.4741447053327286,-0.008352026559798838,0.16048951650356452,1.4079451775906087,0.22250518240722997
2022-07-24,2022,7,205,1.658651470046E12,20220724T081611_20220724T082301_T36SYB,0.162906,0.40447727786196297,-0.469612452407019,-0.6372419140180933,61,-0.022161140997267063,-0.4685454003395937,-0.014692997607038332,0.16499042934899566,1.4249127405054995,0.12391200015335514
2022-07-29,2022,7,210,1.659083464425E12,20220729T081609_20220729T082252_T36SYB,0.001566,0.3777559723144599,-0.452089281029857,-0.5363611481208986,61,-0.05399447701617345,-0.4745417393398685,-0.013783249082994558,0.15208379015496487,1.371035907706779,0.10258879011981399
